סמל ועדה_x,ברזל,שם ישוב,סמל ישוב,קלפי,ריכוז,שופט,בזב,מצביעים,פסולים,כשרים,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת,סמל ועדה_y,שם ועדה,סמל ישוב בחירות,שם ישוב בחירות,סמל קלפי,סמל רכוז,כתובת קלפי,מקום קלפי,נגישה,נגישה מיוחדת,בוחרי כנסת בפועל,Latitude,Longitude,preference,coalition_votes,opposition_votes,didnt_pass_votes,Preference,Category,Region
2,812,אבו גוש,472,6.2,4,0,542,306,8,298,3,1,1,2,107,30,0,0,0,0,2,0,0,0,0,0,3,0,1,30,8,0,0,0,0,0,0,105,2,0,0,1,0,0,0,0,2,0,0,0,2.0,יהודה,472.0,אבו גוש,6.2,4.0,"התמר,2 ","בי""ס יסודי השלום",כ, ,542.0,31.7994735,35.1204704,Opposition,34,144,120,ד,Didn't Pass,Abu Gosh
2,813,אבו גוש,472,6.3,4,0,540,317,3,314,2,0,0,0,157,41,0,0,0,0,3,0,0,0,0,0,0,1,1,30,9,0,0,0,0,0,0,65,3,0,0,0,0,0,0,1,0,0,1,0,2.0,יהודה,472.0,אבו גוש,6.3,4.0,"התמר,2 ","בי""ס יסודי השלום", , ,540.0,31.7994735,35.1204704,Didn't Pass,34,112,168,ד,Didn't Pass,Abu Gosh
2,814,אבו גוש,472,8.0,2,0,495,275,3,272,1,0,0,1,134,24,0,0,0,0,3,0,0,0,0,0,1,0,0,18,10,0,0,0,0,0,0,78,2,0,0,0,0,0,0,0,0,0,0,0,2.0,יהודה,472.0,אבו גוש,8.0,2.0,דרך השלום,"בי""ס חטיבת ביניים",כ,כ,495.0,31.787919,35.0896895,Didn't Pass,22,106,144,ד,Didn't Pass,Ma'te Yehuda
6,2613,אבו סנאן,473,1.1,1,0,397,263,3,260,2,0,0,0,54,114,0,0,1,0,0,0,0,0,0,0,6,0,1,12,2,0,0,0,0,0,0,65,0,0,0,1,0,1,0,0,0,0,1,0,6.0,עכו,473.0,אבו סנאן,1.1,1.0,אבו סנאן,"בי""ס ממלכתי ב",כ,כ,397.0,32.95831,35.167743,Opposition,13,188,59,ום,Opposition,Abu Snan
6,2614,אבו סנאן,473,1.2,1,0,396,203,6,197,0,0,1,0,27,86,0,0,0,0,0,1,0,0,0,0,8,0,11,3,2,0,0,0,0,0,0,51,4,0,0,0,0,0,0,0,2,0,1,0,6.0,עכו,473.0,אבו סנאן,1.2,1.0,אבו סנאן,"בי""ס ממלכתי ב", , ,396.0,32.95831,35.167743,Opposition,4,160,33,ום,Opposition,Abu Snan
6,2615,אבו סנאן,473,5.1,2,0,511,285,1,284,3,0,1,0,42,151,0,0,0,0,0,0,0,0,1,0,39,0,15,14,6,0,0,0,0,0,0,3,8,0,1,0,0,0,0,0,0,0,0,0,6.0,עכו,473.0,אבו סנאן,5.1,2.0,אבו סנאן,"בי""ס ממלכתי א",כ,כ,511.0,32.95831,35.167743,Opposition,14,219,51,ום,Opposition,Abu Snan
6,2616,אבו סנאן,473,5.2,2,0,511,265,6,259,3,0,0,0,46,111,0,0,0,0,0,0,0,3,0,0,4,0,5,3,4,0,0,0,1,0,0,71,8,0,0,0,0,0,0,0,0,0,0,0,6.0,עכו,473.0,אבו סנאן,5.2,2.0,אבו סנאן,"בי""ס ממלכתי א", , ,511.0,32.95831,35.167743,Opposition,3,202,54,ום,Opposition,Abu Snan
6,2617,אבו סנאן,473,5.3,2,0,510,280,6,274,1,0,0,0,43,117,0,0,0,0,0,0,0,0,0,0,17,0,12,21,2,0,0,0,1,0,0,57,1,0,0,0,0,1,0,0,1,0,0,0,6.0,עכו,473.0,אבו סנאן,5.3,2.0,אבו סנאן,"בי""ס ממלכתי א", , ,510.0,32.95831,35.167743,Opposition,21,205,48,ום,Opposition,Abu Snan
6,2618,אבו סנאן,473,8.1,3,0,524,327,5,322,2,0,0,0,23,206,0,0,0,0,0,0,0,0,0,0,7,0,12,22,2,0,0,0,0,0,0,43,4,0,0,0,0,0,0,0,1,0,0,0,6.0,עכו,473.0,אבו סנאן,8.1,3.0,אבו סנאן,"בי""ס תיכון",כ,כ,524.0,32.95831,35.167743,Opposition,22,274,26,ום,Opposition,Abu Snan
6,2619,אבו סנאן,473,8.2,3,0,524,283,2,281,1,0,0,0,13,119,0,0,0,0,2,1,0,0,0,0,39,0,22,32,2,0,0,0,0,0,0,40,5,0,0,1,0,0,0,2,1,0,1,0,6.0,עכו,473.0,אבו סנאן,8.2,3.0,אבו סנאן,"בי""ס תיכון", , ,524.0,32.95831,35.167743,Opposition,35,226,20,ום,Opposition,Abu Snan
6,2620,אבו סנאן,473,8.3,3,0,524,310,4,306,0,0,0,0,35,132,0,0,0,0,0,0,0,0,0,0,7,0,1,2,3,0,0,0,0,0,0,124,0,0,0,0,1,0,0,1,0,0,0,0,6.0,עכו,473.0,אבו סנאן,8.3,3.0,אבו סנאן,"בי""ס תיכון", , ,524.0,32.95831,35.167743,Opposition,2,264,40,ום,Opposition,Abu Snan
6,2621,אבו סנאן,473,9.1,5,1,511,275,4,271,2,0,0,0,61,96,0,0,0,0,0,1,0,0,0,0,17,0,13,9,10,0,0,0,0,1,0,51,10,0,0,0,0,0,0,0,0,0,0,0,6.0,עכו,473.0,אבו סנאן,9.1,5.0,אבו סנאן,"בי""ס חטיבה א", , ,511.0,32.95831,35.167743,Opposition,9,189,73,ום,Opposition,Abu Snan
6,2622,אבו סנאן,473,9.2,5,0,511,277,6,271,0,0,0,0,30,88,1,0,0,0,0,0,0,0,0,0,39,0,22,31,8,0,0,0,0,1,0,40,11,0,0,0,0,0,0,0,0,0,0,0,6.0,עכו,473.0,אבו סנאן,9.2,5.0,אבו סנאן,"בי""ס חטיבה א", , ,511.0,32.95831,35.167743,Opposition,31,200,40,ום,Opposition,Abu Snan
6,2623,אבו סנאן,473,9.3,5,0,510,261,3,258,1,0,0,0,23,70,2,0,0,0,0,0,0,0,0,0,13,0,18,24,2,0,0,0,0,0,0,94,11,0,0,0,0,0,0,0,0,0,0,0,6.0,עכו,473.0,אבו סנאן,9.3,5.0,אבו סנאן,"בי""ס חטיבה א", , ,510.0,32.95831,35.167743,Opposition,24,207,27,עם,Opposition,Abu Snan
6,2624,אבו סנאן,473,11.1,6,0,505,276,2,274,1,0,0,0,65,122,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,0,0,0,0,0,73,1,0,0,1,0,1,0,0,0,0,1,1,6.0,עכו,473.0,אבו סנאן,11.1,6.0,אבו סנאן,בית ספר חטיבת ביניים ב', , ,505.0,32.95831,35.167743,Opposition,3,201,70,ום,Opposition,Abu Snan
6,2625,אבו סנאן,473,11.2,6,0,505,271,8,263,0,0,0,0,46,70,0,0,0,0,0,0,0,0,0,0,17,0,13,24,5,0,0,0,0,0,0,80,8,0,0,0,0,0,0,0,0,0,0,0,6.0,עכו,473.0,אבו סנאן,11.2,6.0,אבו סנאן,בית ספר חטיבת ביניים ב', , ,505.0,32.95831,35.167743,Opposition,24,188,51,עם,Opposition,Abu Snan
6,2626,אבו סנאן,473,11.3,6,0,505,228,4,224,5,0,1,0,12,56,0,0,0,0,1,0,0,0,0,1,29,0,37,35,7,1,0,0,0,0,0,26,11,0,0,0,0,0,0,0,1,0,1,0,6.0,עכו,473.0,אבו סנאן,11.3,6.0,אבו סנאן,בית ספר חטיבת ביניים ב', , ,505.0,32.95831,35.167743,Opposition,37,164,23,ום,Opposition,Abu Snan
6,2627,אבו סנאן,473,13.1,4,0,614,359,3,356,3,0,0,0,31,198,0,0,0,0,0,1,0,1,0,0,21,1,19,26,1,0,0,0,0,0,0,50,3,0,0,0,0,0,0,0,0,0,1,0,6.0,עכו,473.0,אבו סנאן,13.1,4.0,אבו סנאן,"בי""ס ממלכתי ג (אלתסאמח)",כ,כ,614.0,32.95831,35.167743,Opposition,27,294,35,ום,Opposition,Abu Snan
6,2628,אבו סנאן,473,13.2,4,0,614,318,5,313,0,0,0,0,36,81,0,0,0,0,1,0,0,0,0,0,31,1,18,17,2,0,0,0,0,1,0,114,7,0,0,0,0,0,1,0,2,0,1,0,6.0,עכו,473.0,אבו סנאן,13.2,4.0,אבו סנאן,"בי""ס ממלכתי ג (אלתסאמח)", , ,614.0,32.95831,35.167743,Opposition,19,251,43,עם,Opposition,Abu Snan
6,2629,אבו סנאן,473,13.3,4,0,614,311,1,310,3,0,0,0,19,71,1,1,1,0,1,0,0,0,0,0,37,0,36,52,7,0,0,0,2,0,0,57,17,0,0,1,0,0,0,0,0,0,4,0,6.0,עכו,473.0,אבו סנאן,13.3,4.0,אבו סנאן,"בי""ס ממלכתי ג (אלתסאמח)", , ,614.0,32.95831,35.167743,Opposition,57,221,32,ום,Opposition,Abu Snan
6,2630,אבו סנאן,473,13.4,4,0,614,344,4,340,6,0,0,0,26,32,0,0,0,0,1,0,0,0,0,0,39,0,72,61,4,0,0,0,1,0,0,68,30,0,0,0,0,0,0,0,0,0,0,0,6.0,עכו,473.0,אבו סנאן,13.4,4.0,אבו סנאן,"בי""ס ממלכתי ג (אלתסאמח)", , ,614.0,32.95831,35.167743,Opposition,62,247,31,ל,Opposition,Abu Snan
6,2631,אבו סנאן,473,13.5,4,0,613,322,3,319,1,0,0,0,45,110,0,0,0,0,0,0,0,0,0,0,30,0,25,15,11,0,0,0,0,0,0,53,24,0,0,0,0,0,0,3,1,0,1,0,6.0,עכו,473.0,אבו סנאן,13.5,4.0,אבו סנאן,"בי""ס ממלכתי ג (אלתסאמח)", , ,613.0,32.95831,35.167743,Opposition,16,243,60,ום,Opposition,Abu Snan
18,10496,אבו עבדון שבט,958,1.0,1,0,154,41,0,41,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,18.0,באר שבע,958.0,אבו עבדון (שבט),1.0,1.0,אבו עבדון (שבט),"בי""ס חט""ב לקייה",כ,כ,154.0,31.3013988,34.8416561,Opposition,0,40,1,עם,Opposition,Be'er Sheva
18,10597,אבו קורינאת שבט,968,5.1,1,0,678,204,3,201,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,177,3,0,0,0,0,0,1,0,0,0,1,0,18.0,באר שבע,968.0,אבו קורינאת (שבט),5.1,1.0,אבו קורינאת (שבט),בית ספר אבו קריינאת,כ,כ,678.0,31.103115,34.952003,Opposition,2,197,2,עם,Opposition,No Jurisdiction
18,10598,אבו קורינאת שבט,968,5.2,1,0,678,203,1,202,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,190,1,0,0,0,0,0,0,0,0,0,0,0,18.0,באר שבע,968.0,אבו קורינאת (שבט),5.2,1.0,אבו קורינאת (שבט),בית ספר אבו קריינאת,כ, ,678.0,31.103115,34.952003,Opposition,1,196,5,עם,Opposition,No Jurisdiction
18,10599,אבו קורינאת שבט,968,5.3,1,0,678,275,1,274,0,0,1,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,246,0,0,0,1,0,0,0,1,0,0,2,0,18.0,באר שבע,968.0,אבו קורינאת (שבט),5.3,1.0,אבו קורינאת (שבט),בית ספר אבו קריינאת,כ, ,678.0,31.103115,34.952003,Opposition,2,262,10,עם,Opposition,No Jurisdiction
18,10600,אבו קורינאת שבט,968,5.4,1,0,678,320,1,319,1,0,0,0,1,25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,288,0,0,0,0,0,0,1,0,0,0,0,0,18.0,באר שבע,968.0,אבו קורינאת (שבט),5.4,1.0,אבו קורינאת (שבט),בית ספר אבו קריינאת,כ, ,678.0,31.103115,34.952003,Opposition,1,314,4,עם,Opposition,No Jurisdiction
18,10601,אבו קורינאת שבט,968,5.5,1,0,674,213,0,213,1,0,0,0,2,5,0,0,0,1,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,195,0,1,0,0,0,0,0,0,0,0,0,0,18.0,באר שבע,968.0,אבו קורינאת (שבט),5.5,1.0,אבו קורינאת (שבט),בית ספר אבו קריינאת, , ,674.0,31.103115,34.952003,Opposition,6,201,6,עם,Opposition,No Jurisdiction
18,10602,אבו קרינאת יישוב,1342,1.1,2,0,352,187,4,183,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,165,7,0,1,0,0,0,0,0,0,0,0,0,18.0,באר שבע,1342.0,אבו קרינאת (יישוב),1.1,2.0,אבו קרינאת (יישוב),"בי""ס אבו קרינאת ב",כ,כ,352.0,31.103115,34.952003,Opposition,3,179,1,עם,Opposition,No Jurisdiction
18,10603,אבו קרינאת יישוב,1342,1.2,2,0,351,164,1,163,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,5,0,0,0,0,0,0,1,0,0,0,0,18.0,באר שבע,1342.0,אבו קרינאת (יישוב),1.2,2.0,אבו קרינאת (יישוב),"בי""ס אבו קרינאת ב", , ,351.0,31.103115,34.952003,Opposition,0,156,7,עם,Opposition,No Jurisdiction
18,10565,אבו רובייעה שבט,966,5.1,1,0,603,205,9,196,4,0,0,1,2,9,0,0,0,0,0,0,1,0,0,0,1,0,2,7,2,0,0,0,0,0,1,161,3,0,0,0,0,2,0,0,0,0,0,0,18.0,באר שבע,966.0,אבו רובייעה (שבט),5.1,1.0,"כסיפה,כסיפה","בי""ס יסודי חמאד אבו רובייעה", , ,603.0,31.249246,35.083681,Opposition,8,180,8,עם,Opposition,Kseyfe
18,10566,אבו רובייעה שבט,966,5.2,1,0,603,207,0,207,0,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,2,1,0,7,2,0,0,0,0,0,0,154,2,0,0,0,0,0,0,0,0,0,0,0,18.0,באר שבע,966.0,אבו רובייעה (שבט),5.2,1.0,"כסיפה,כסיפה","בי""ס יסודי חמאד אבו רובייעה", , ,603.0,31.249246,35.083681,Opposition,7,196,4,עם,Opposition,Kseyfe
18,10567,אבו רובייעה שבט,966,5.3,1,0,603,204,1,203,0,0,0,0,3,6,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,185,2,0,0,0,0,0,1,0,0,0,0,0,18.0,באר שבע,966.0,אבו רובייעה (שבט),5.3,1.0,"כסיפה,כסיפה","בי""ס יסודי חמאד אבו רובייעה", , ,603.0,31.249246,35.083681,Opposition,2,195,6,עם,Opposition,Kseyfe
18,10568,אבו רובייעה שבט,966,5.4,1,0,603,186,1,185,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,169,1,0,0,0,0,0,0,0,0,0,1,0,18.0,באר שבע,966.0,אבו רובייעה (שבט),5.4,1.0,"כסיפה,כסיפה","בי""ס יסודי חמאד אבו רובייעה", , ,603.0,31.249246,35.083681,Opposition,3,179,3,עם,Opposition,Kseyfe
18,10569,אבו רובייעה שבט,966,5.5,1,0,600,183,3,180,1,0,0,0,10,9,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,145,1,1,1,1,1,0,0,1,0,1,2,0,18.0,באר שבע,966.0,אבו רובייעה (שבט),5.5,1.0,"כסיפה,כסיפה","בי""ס יסודי חמאד אבו רובייעה", , ,600.0,31.249246,35.083681,Opposition,5,159,16,עם,Opposition,Kseyfe
18,10570,אבו רובייעה שבט,966,6.1,2,0,491,187,5,182,3,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,156,0,0,1,0,0,0,0,1,0,0,2,0,18.0,באר שבע,966.0,אבו רובייעה (שבט),6.1,2.0,"כסיפה,כסיפה","בי""ס רב תחומי", , ,491.0,31.249246,35.083681,Opposition,3,172,7,עם,Opposition,Kseyfe
18,10571,אבו רובייעה שבט,966,6.2,2,0,491,173,1,172,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,158,0,0,0,0,0,2,0,0,0,1,0,0,18.0,באר שבע,966.0,אבו רובייעה (שבט),6.2,2.0,"כסיפה,כסיפה","בי""ס רב תחומי", , ,491.0,31.249246,35.083681,Opposition,3,165,4,עם,Opposition,Kseyfe
18,10572,אבו רובייעה שבט,966,6.3,2,0,490,151,3,148,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,4,1,0,0,0,1,0,0,129,0,0,0,1,0,0,0,0,0,0,1,0,18.0,באר שבע,966.0,אבו רובייעה (שבט),6.3,2.0,"כסיפה,כסיפה","בי""ס רב תחומי", , ,490.0,31.249246,35.083681,Opposition,8,136,4,עם,Opposition,Kseyfe
18,10515,אבו רוקייק שבט,961,1.1,1,0,667,222,0,222,0,0,0,0,10,69,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,1,0,0,0,0,0,0,0,18.0,באר שבע,961.0,אבו רוקייק (שבט),1.1,1.0,אבו רוקייק (שבט),"בי""ס רב תחומי תל שבע מבנה ימני", , ,667.0,31.256325,34.8648318,Opposition,11,200,11,עם,Opposition,Tel Sheva
18,10516,אבו רוקייק שבט,961,1.2,1,0,667,199,0,199,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,189,0,0,0,0,0,0,0,2,1,1,0,0,18.0,באר שבע,961.0,אבו רוקייק (שבט),1.2,1.0,אבו רוקייק (שבט),"בי""ס רב תחומי תל שבע מבנה ימני", , ,667.0,31.256325,34.8648318,Opposition,2,191,6,עם,Opposition,Tel Sheva
18,10517,אבו רוקייק שבט,961,1.3,1,0,667,273,3,270,0,0,0,0,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,255,0,0,0,0,0,0,0,0,2,0,0,0,18.0,באר שבע,961.0,אבו רוקייק (שבט),1.3,1.0,אבו רוקייק (שבט),"בי""ס רב תחומי תל שבע מבנה ימני", , ,667.0,31.256325,34.8648318,Opposition,3,261,6,עם,Opposition,Tel Sheva
18,10518,אבו רוקייק שבט,961,1.4,1,0,667,403,3,400,0,0,0,0,8,156,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,227,3,0,1,0,0,1,0,0,0,0,1,0,18.0,באר שבע,961.0,אבו רוקייק (שבט),1.4,1.0,אבו רוקייק (שבט),"בי""ס רב תחומי תל שבע מבנה ימני", , ,667.0,31.256325,34.8648318,Opposition,3,386,11,עם,Opposition,Tel Sheva
18,10519,אבו רוקייק שבט,961,1.5,1,0,667,302,0,302,0,0,0,0,9,68,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,221,1,0,1,0,0,0,0,0,0,0,0,0,18.0,באר שבע,961.0,אבו רוקייק (שבט),1.5,1.0,אבו רוקייק (שבט),"בי""ס רב תחומי תל שבע מבנה ימני", , ,667.0,31.256325,34.8648318,Opposition,2,290,10,עם,Opposition,Tel Sheva
18,10520,אבו רוקייק שבט,961,1.6,1,0,667,237,1,236,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,197,0,0,0,0,0,0,0,0,0,0,1,0,18.0,באר שבע,961.0,אבו רוקייק (שבט),1.6,1.0,אבו רוקייק (שבט),"בי""ס רב תחומי תל שבע מבנה ימני", , ,667.0,31.256325,34.8648318,Opposition,1,234,1,עם,Opposition,Tel Sheva
18,10521,אבו רוקייק שבט,961,1.7,1,0,667,239,3,236,0,0,0,0,4,22,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,204,1,0,1,0,0,1,0,0,0,0,0,0,18.0,באר שבע,961.0,אבו רוקייק (שבט),1.7,1.0,אבו רוקייק (שבט),"בי""ס רב תחומי תל שבע מבנה ימני", , ,667.0,31.256325,34.8648318,Opposition,2,227,7,עם,Opposition,Tel Sheva
18,10522,אבו רוקייק שבט,961,1.8,1,0,667,230,2,228,0,0,0,0,3,33,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,1,0,18.0,באר שבע,961.0,אבו רוקייק (שבט),1.8,1.0,אבו רוקייק (שבט),"בי""ס רב תחומי תל שבע מבנה ימני", , ,667.0,31.256325,34.8648318,Opposition,5,220,3,עם,Opposition,Tel Sheva
18,10604,אבו תלול,1375,1.0,1,0,568,319,4,315,0,0,0,0,5,53,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,18.0,באר שבע,1375.0,אבו תלול,1.0,1.0,אבו תלול,"בי""ס יסודי אלמתקבל", , ,568.0,31.198776,34.921624,Opposition,1,309,5,עם,Opposition,No Jurisdiction
18,10605,אבו תלול,1375,2.0,1,0,573,334,2,332,0,0,0,0,1,83,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,18.0,באר שבע,1375.0,אבו תלול,2.0,1.0,אבו תלול,"בי""ס יסודי אלמתקבל", , ,573.0,31.198776,34.921624,Opposition,3,326,3,עם,Opposition,No Jurisdiction
20,11348,אבטליון,1275,1.0,1,0,323,244,0,244,32,2,5,0,0,5,0,0,0,0,5,0,4,0,0,0,25,0,5,24,24,0,0,0,0,0,0,1,105,0,0,0,0,0,0,0,7,0,0,0,20.0,כרמיאל,1275.0,אבטליון,1.0,1.0,אבטליון,מועדון,כ,כ,323.0,32.046928,34.948841,Opposition,29,173,42,פה,Opposition,El'ad
9,4134,אביאל,679,1.0,1,0,547,405,3,402,36,0,2,2,1,3,0,0,0,0,17,0,0,0,0,0,77,0,3,71,46,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,15,0,2,0,9.0,חדרה,679.0,אביאל,1.0,1.0,אביאל,אולם מופת-מועדון פיס,כ,כ,547.0,32.4393903,34.9191114,Opposition,92,246,64,פה,Opposition,Hadera
3,1231,אביבים,1115,1.0,1,0,347,271,1,270,0,0,2,5,0,0,0,0,0,0,42,0,0,0,0,0,1,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,3.0,צפת,1115.0,אביבים,1.0,1.0,אביבים,מזכירות,כ,כ,347.0,32.120103,35.032592,Coalition,267,1,2,מחל,Coalition,
